DATE,RRVRUSQ156N
2009-04-01,10.6
2009-07-01,11.1
2009-10-01,10.7
2010-01-01,10.6
2010-04-01,10.6
2010-07-01,10.3
2010-10-01,9.4
2011-01-01,9.7
2011-04-01,9.2
2011-07-01,9.8
2011-10-01,9.4
2012-01-01,8.8
2012-04-01,8.6
2012-07-01,8.6
2012-10-01,8.7
2013-01-01,8.6
2013-04-01,8.2
2013-07-01,8.3
2013-10-01,8.2
2014-01-01,8.3
2014-04-01,7.5
2014-07-01,7.4
2014-10-01,7.0
2015-01-01,7.1
2015-04-01,6.8
2015-07-01,7.3
2015-10-01,7.0
2016-01-01,7.0
2016-04-01,6.7
2016-07-01,6.8
2016-10-01,6.9
2017-01-01,7.0
2017-04-01,7.3
2017-07-01,7.5
2017-10-01,6.9
2018-01-01,7.0
2018-04-01,6.8
2018-07-01,7.1
2018-10-01,6.6
2019-01-01,7.0
2019-04-01,6.8
