State,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
United States,3.9,4.4,4.9,5.3,6.2,7.4,8.1,8.9,9.6,9.3
Alabama,3.9,4.4,5.8,6.1,6.8,7.2,8,9.6,10.5,11
Alaska,6.6,7,6.9,6.5,6.9,7,7.1,7.6,7.9,7.7
Arizona,4.8,4.9,5.4,6.1,6.8,7.7,8.3,9.5,10.4,9.9
Arkansas,3.7,3.7,4,5,6,7.2,7.6,8.3,8.2,7.8
California,4.2,4.8,5.5,6.2,7.5,8.9,10.4,11.7,12.2,11.2
Colorado,3.3,2.7,3.2,3.9,5,6.9,7.9,8.4,8.7,7.3
Connecticut,4.1,4.7,5.1,5.7,6.6,7.8,8.3,8.8,9.1,7.9
Delaware,3.8,4.5,4.5,4.9,5.7,6.7,7.2,7.5,8.4,8.3
District of Columbia,5.6,6.1,6.1,6.9,7.8,8.5,9,10.2,9.4,9.3
Florida,3.6,4.2,4.8,5.5,6.3,7.2,8.5,10,11.1,10.4
Georgia,3.9,4.7,5.4,6,7.1,8.2,9.2,10.2,10.5,9.9
Hawaii,2.4,2.4,3,3.6,4.4,4.9,6,6.8,6.9,7.2
Idaho,2.8,3.2,3.8,4.2,4.8,6.1,7.2,8.3,9,8.8
Illinois,4.3,4.9,5.8,6,7.1,9,9,9.7,10.4,10.2
Indiana,3.4,3.6,4.4,4.8,6,7.7,8.3,9.1,10.4,10.3
Iowa,2.5,3.1,3.6,3.8,4.2,4.7,5,5.5,6,6.4
Kansas,3.4,3.7,4,4.2,4.5,5.3,5.7,6.5,7.1,6.9
Kentucky,4.3,4.9,5.1,5.3,6.5,8,8.2,9.4,10.2,10.3
Louisiana,4.9,5.1,6.1,6.3,6.4,6.7,7.1,7.8,8,6.8
Maine,3.4,3.4,3.8,4.4,5.6,6.6,7.5,7.9,8.1,8.1
Maryland,3.9,4.3,4.5,5.1,5.8,6.6,7,7.2,7.7,7
Massachusetts,3.3,3.8,3.9,4.8,5.7,6.7,6.7,7.3,8.3,8.1
Michigan,4.1,4.6,5,5.4,7.2,8.8,9.1,10.4,12.6,13.7
Minnesota,2.9,3.4,3.9,3.7,4.2,5,5.6,6.5,7.4,7.8
Mississippi,4.8,5.1,5.8,6.4,7.5,8.5,9,10,10.4,9.5
Missouri,3.2,3.8,4.6,5,6.1,6.7,6.9,8.5,9.6,9.3
Montana,3.7,3.9,4.1,4.2,4.7,5.4,6,6.9,7.3,6.8
Nebraska,2.8,2.9,3.1,3,3.3,3.8,4,4.4,4.6,4.6
Nevada,4.6,5.1,5.7,6.8,7.9,9.6,11.2,13,13.5,11.3
New Hampshire,2.5,2.7,2.9,3.4,4.3,5.1,5.5,5.4,5.8,6.2
New Jersey,4.1,4.6,5,5.8,6.8,8.2,9.3,9.3,9.5,9.1
New Mexico,4.9,5.9,6.6,6.5,6.7,6.9,7.1,7.5,8.1,7.5
New York,4.1,4.7,4.9,5.3,6.3,7.7,8.5,8.3,8.6,8.3
North Carolina,3.9,4.5,5.1,5.7,6.3,8,9.3,10.3,10.9,10.6
North Dakota,2.6,2.7,3.1,2.8,2.7,2.9,3.1,3.5,3.8,4.1
Ohio,4.6,5,5,4.9,5.8,7.5,7.4,8.8,10.3,10.3
Oklahoma,3.4,4.2,4.8,4.4,4.5,5.3,5.2,5.9,6.8,6.4
Oregon,4.2,4.1,4.8,5.6,6.8,7.9,8.8,9.5,10.6,11.3
Pennsylvania,4.3,4.9,5.4,5.3,5.9,7.4,7.8,7.9,8.5,8
Rhode Island,4.1,4.4,5.2,6,7.7,9.3,10.4,11,11.2,11
South Carolina,3.4,4.3,5,6,6.5,7.6,9.2,10.6,11.2,11.2
South Dakota,3,3.2,3,3.1,3.4,3.8,4.3,4.7,5,4.9
Tennessee,3.5,3.8,4.7,5.6,6.6,7.8,7.8,9,9.7,10.5
Texas,3.9,4.3,4.6,4.4,5.1,6.3,6.7,7.8,8.1,7.6
Utah,3.1,3.3,3.4,3.6,3.8,4.6,5.4,6.7,7.8,7.3
Vermont,2.7,3,3.2,3.6,3.9,4.4,5,5.5,6.1,6.6
Virginia,3,3.7,4.1,4.5,5.2,5.7,6.1,6.6,7.1,6.7
Washington,4.5,4.7,5.3,5.6,6.1,7,8.1,9.3,10,9.2
West Virginia,5.3,5.2,6.1,6.7,6.6,6.8,7.5,8.1,8.7,7.7
Wisconsin,3,3.3,4,4.6,5.4,6.7,7,7.8,8.7,8.6
Wyoming,4.1,4.2,5.3,4.3,4.1,4.7,5.3,5.8,6.4,6.3
,,,,,,,,,,
Source: Bureau of Labor Statistics,,,,,,,,,,
