"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28294573643411,4.30559817686979,4.26251691474966,4.12613645713345,3.97959183673469,3.69730476848652,3.375,3.27272727272727,3.80141124160263,3.88996973627324,3.98888888888889,4.22222222222222,4.15,4.09314882091327,3.99047619047619,4.01315789473684,4,3.8135593220339,3.67741935483871,3.65,3.69569333730661,3.75,3.82907133243607,3.94117647058824,3.98194189622437,3.75626043405676,3.95975323149236,3.88204608027822,3.58333333333333,3.88888888888889,3.44444444444444,3.65555555555556,4.18300653594771,4.45936649160527,4.52662236987818,4.54220915316951,4.60312816708633,4.59223300970874,4.5597619047619,4.5,4.39056356487549,4.26966292134831,4.20168067226891,4.14985760781123,3.87628865979381,3.37793847566575,3.28220858895706,3.75,3.96659707724426,3.94169524742773,3.77551020408163,3.72516556291391,3.47222222222222,3.36240944145828,3.33333333333333,3.22025471879815,3.2510162601626,3.35498839907193,3.46153846153846,3.89518900343643,4,4.1044776119403,3.95424276085138,3.77777777777778
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,2.0583479020979,2.15090292776578,2.18613138686131,2.07865168539326,2.32954545454545,2.21238938053097,2.18842729970326,2.07692307692308,2.17105263157895,2.11864406779661,1.99878934624697,1.97777777777778,2.03110465116279,2.16627634660422,2.18125,2.25,2.24234550561798,2.28496240601504,2.2375,2.20238095238095,2.21468253968254,2.26086956521739,2.36666666666667,2.2705518018018,2.18146341463415,2.3,2.3,2.2741116751269,2.3123965170797,2.32295081967213,2.28753180661578,2.398,2.4,2.37083333333333,2.18786764705882,2.28591078797406,2.32222222222222,2.36166666666667,2.32222222222222,2.37777777777778,2.47058823529412,2.44565217391304,2.59714285714286,2.60222222222222,2.58673469387755,2.65368696363754,2.60384615384615,2.70428015564202,2.72727272727273,2.72631578947368,2.71948051948052,2.7375,2.8125,2.90281996733488,2.96972002434571,2.95238095238095,2.91666666666667,3,2.96052631578947,2.95,3,2.99,3.05,3.06945661700263,3.0375,3.22822822822823,3.19,3.13432835820896,3.17758620689655,3.1,3.11111111111111,3.07391304347826,3.25652173913043,3.45,3.59473684210526,3.48717105263158,3.41046271735927,3.56411642151104,3.72309899569584,3.625,3.62771578601903,3.64655172413793,3.61176470588235,3.5699558173785,3.45333333333333,3.59090909090909,3.58567986748984,3.58319761129207,3.70112359550562,3.7,3.71428571428571,3.78104279686558,3.7688836217435,3.86840023948732,3.89664639135415,3.94538606403013,3.87673956262425,3.89866920152091,3.89655172413793,3.92716535433071,3.89983579638752,3.94088669950739,3.91302521008403,3.93646408839779
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,,,,,,,,,,,,,,,,,,,,2.325,2.32572173215718,2.3421875,2.33564803661768,2.3,2.25593220338983,2.21111111111111,2.24,2.40424279997327,2.39230769230769,2.3889836935912,2.46547619047619,2.46440677966102,2.42700729927007,2.41187384044527,2.45151033386328,2.48855968858132,2.5875,2.58765153334935,2.6256880733945,2.65833333333333,2.65103941808287,2.67775831873905,2.64618249534451,2.66407386576678,2.62665294571649,2.60659716925163,2.625,2.6,2.56086956521739,2.6135593220339,2.64605421063522,2.71327433628319,2.79643716135853,2.86201550387597,2.72424354438401,2.86138613861386,2.79935794542536,2.66942148760331,2.55345911949686,2.66338582677165,2.81622807017544,2.72340528208002,2.70032573289902,2.74750481179435,2.74286247117862,2.72386587771203,2.63263305322129,2.71287128712871,2.723115651735,2.76190224159402,2.72469695186536,2.69458600549702,2.775,2.69230769230769,2.64618249534451,2.68064080944351,2.62726882664618,2.66304347826087,2.6549815498155,2.65918974976582,2.64299802761341,2.64792728508325,2.62982456140351,2.65153606237817,2.63621460506706,2.62745098039216,2.625,2.64814814814815,2.6978509275196,2.7,2.72119815668203,2.76198782208813,2.76697247706422,2.76218279021508,2.7375,2.72160138248848,2.78571428571429,2.79617834394904,2.81007751937985,2.79047619047619,2.796,2.85433070866142,2.82101167315175,2.76666666666667,2.76,2.7469244288225,2.73809523809524,2.80944055944056,2.93243243243243,2.93565683646113,2.95833333333333,2.94952681388013,2.93103448275862,2.87037037037037,2.87261146496815
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7906976744186,1.65,1.64061771761901,1.66666666666667,1.76009067750749,1.74418604651163,1.6,1.62375,1.62375,1.59574039335229,1.62921348314607,1.65,1.67823529411765,1.54117647058824,1.5375
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61305555555556,1.47883585306329,1.64917582417582,1.578,1.65833333333333,1.712,1.8875,1.77922077922078,1.71711111111111,1.72649572649573,1.77526132404181,1.75,2.05330882352941,1.85555555555556,1.85185185185185,1.92761515770365,1.92307692307692,1.94736842105263,2.27460317460317,2.26189639006095,2.14285714285714,1.958966839612,1.85449735449735,1.79365079365079,1.85640648011782,1.82692307692308,1.91666666666667,1.98431013431013,2.13739130434783,2.43181818181818,2.5297619047619,2.54423076923077,2.46373456790123,2.21130221130221,2.13622291021672,2.17136363636364,2.47777777777778,2.4,2.50846703152528,2.55813953488372,2.62880367807375,2.72921855541719,2.72474747474747,2.69230769230769,2.73722627737226,2.58754789272031,2.68619128466327,2.59888888888889,2.5,2.49391594109427,2.55084745762712,2.64285714285714,2.85583941605839,2.823055028463,2.83782138582807,2.72727272727273,2.7150974025974,2.76550099206349,2.72361111111111,2.65135135135135,2.63333333333333,2.55220417633411,2.63333333333333,2.81004458066314,2.87777777777778,2.94082562174667,3,3,2.91029197080292,2.97953980099502,2.97619047619048,2.83333333333333,3.02115442536896,3.02405498281787,3.05619369369369,3.06458333333333,3.09615384615385,3.04054054054054,3,2.93233082706767,2.91666666666667,2.95
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,0.759259259259259,0.770510516345266,0.753360530924788,0.764699257565125,0.811236319087973,0.769578995020371,0.738202002273187,0.764895330112721,0.785582255083179,0.768561484918794,0.770712909441233,0.746181203358209,0.743579121789561,0.744359153291463,0.754592342772226,0.74582338902148,0.743927125506073,0.729685017319786,0.730460189919649,0.721292421144585,0.71702949644515,0.699015776249068,0.694444444444444,0.702756973841311,0.704934541792548,0.720108695652174,0.732882176847694,0.738506987842291,0.739983791750063,0.739804658390738,0.734779566130161,0.72463768115942,0.713820078226858,0.712361331220285,0.709275755055316,0.717360114777618,0.720534124864899,0.714651639344262,0.731869594145043,0.72337962962963,0.722361809045226,0.72764487585193,0.693343898573692,0.732484076433121,0.736046245686841,0.72513962091243,0.725178201304282,0.716253443526171,0.713485983088482,0.719424460431655,0.725138121546961,0.759545297921968,0.76608784473953,0.76530612244898,0.771700245421742,0.761515601783061,0.761730652041438,0.764439411098528,0.764263640601795,0.765764388770132,0.779531288734639,0.785129752632146,0.812064965197216,0.828853046594982,0.835137643055985,0.828912466843501,0.82093389858337,0.821428571428571,0.827893843882216,0.848211313356254,0.844230769230769,0.844228674375733,0.857843137254902,0.87719298245614,0.873161764705882,0.863213811420983,0.867391304347826,0.864928909952607,0.861118865737803,0.857245337159254,0.857271789582259,0.862068965517241,0.846433612905306,0.878005087043566,0.902362015816181,0.931372549019608,0.954290112991762,0.959079283887468,0.957357859531773,0.962596291986365,0.949266546686641,0.948443579766537,0.955882352941177,0.947567909033481,0.952234702234702,0.961538461538462,0.974304068522484,1.02579331439686,1.05263157894737,1.04166666666667,1.06269925611052,1.05617672600955,1.05307783739921,1.03635204081633,1.04553903345725,1.0536253776435,1.05096800340163,1.05848023067703,1.06837606837607,1.10179065044472,1.12855649946063,1.15334995843724,1.16194625998548,1.13809476209516,1.13469985358712
"San Diego","CA","San Diego-Carlsbad","San Diego County",7,,,,,,,,,,,,,,,,,,,,2.30625511410128,2.32265782903341,2.2938478143551,2.16417624521073,2.01794624175117,2.09709119496855,2.12048173803526,2.06140350877193,2.17438936781609,2.29375,2.36607142857143,2.2547619047619,2.08791208791209,2.21428571428571,2.14577656675749,2.14444444444444,2.21052631578947,2.14444444444444,2.25,2.12916666666667,2.03475856620914,2.05544933078394,2.16666666666667,2.30434782608696,2.28476970133141,2.31696428571429,2.3125,2.55555555555556,2.58973493935759,2.46296992481203,2.50558035714286,2.64285714285714,2.69870609981516,2.55083179297597,2.58215962441315,2.67213114754098,2.72716488730724,2.71859519408503,2.72608244365362,2.72804593226937,2.81649831649832,2.76346153846154,2.98333333333333,2.95,3.00647805846512,2.95030864197531,3,3.29333333333333,3.32469706305196,3.29635258358663,2.9993481095176,2.9954418595176,2.99445471349353,2.9875,2.97389535751605,2.98646362098139,2.98660714285714,3.10526315789474,3.17974683544304,3.17577117473882,3.21471203424458,3.03846153846154,3.12,3.19178082191781,3.6661036036036,3.61431826080241,3.49716843000189,3.41435006435006,3.36080586080586,3.34628195622923,3.31967916556641,3.3086876155268,3.27833245521602,3.21917808219178,3.1875,3.22012750455373,3.18312101910828,3.5,3.40485074626866,3.48134328358209,3.55892857142857,3.58435582822086,3.58805031446541,3.64776983021822,3.60463096960926,3.67574257425743,3.63371662943568,3.65,3.66958041958042,3.66541353383459,3.60805860805861,3.70185185185185,3.68421052631579,3.68378539239861,3.76944444444444,3.69047619047619
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6735632183908,1.59676084337795,1.66135881104034,1.69210526315789,1.68098617855809,1.73015873015873,1.69791666666667,1.64888146802087,1.63157894736842,1.80771757487925,1.66294642857143,1.76297577854671,1.52316788443941,1.76398914998944,1.81973684210526,1.79533277941724,1.77951022377707,1.88626907073509,1.93109585558098,1.90548780487805,2.03669724770642,1.95587150127226,1.98884758364312,1.9887134083114,1.97264052435588,2,2.1625,2.03898809836997,2.05313409590237,2.10120068610635,2.10175438596491,2.07653733617062,2.08953692464874,2.07439446366782,2.08333333333333,2.0663082437276,2.03488372093023,2.00534759358289,2.04014267264487,2.02838063439065,2.05165289256198,2.06467661691542,2.06467661691542,2.12210455685863,2.09918740354938
"Austin","TX","Austin-Round Rock","Travis County",9,,,,,,,,,,,,,,,,,,,,,,,0.908625543895572,0.938232994526974,0.943269305554386,0.980101066554888,0.987038073908175,0.983606557377049,1.01988781234064,0.981725633237503,0.968144909431605,0.956067612574131,0.962341974646767,0.899981086211848,0.909832660811773,0.932601537104852,0.980392156862745,1.00276638403379,1.01412429378531,1.04032126473609,1.04494382022472,1.08999722977325,1.0731319554849,1.09572458692632,1.08695652173913,1.1037527593819,1.07342030159619,1.06211034023396,1.08230527175058,1.0880829015544,1.10234582781978,1.13307618129219,1.10312786955984,1.1090136857008,1.11880570739012,1.13377926421405,1.16785946649317,1.17079889807163,1.12445752522891,1.14039533705018,1.17258172728539,1.21951219512195,1.25570776255708,1.19287245944434,1.20211898940505,1.20115745646965,1.19131044148563,1.20271438225254,1.26135216952573,1.38772077375946,1.42165057372884,1.38830483132418,1.41931912118248,1.47341447789878,1.50974025974026,1.38538205980066,1.38111432002835,1.30548001635364,1.30134099616858,1.26461152802317,1.21951219512195,1.25,1.26525980477385,1.29543336439888,1.34529147982063,1.37050107048588,1.39337228386081,1.45134228187919,1.39484978540773,1.35658914728682,1.34043927648579,1.32037052886012,1.29482071713147,1.31184407796102,1.36425648021828,1.38031839954917,1.4589127382295,1.4918555880623,1.51046616377604,1.47042777831263,1.41404805914972,1.37614678899083,1.34811749588701,1.37945670628183,1.4,1.49350649350649,1.51933701657459,1.52949745083758,1.59003208303148,1.60225442834138,1.60225442834138,1.60225442834138,1.60225442834138,1.61446655455904,1.59574468085106
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19103565674682,3,2.84313725490196,3.1294006400931,3.41137123745819,3.42809364548495,3.56565656565657,3.62118491921005,3.6256323777403,3.56565656565657,3.58615611192931,3.61598177145431,3.66760561308543,3.76706617968066,3.83599290780142,3.7865090403338,3.7651994744386,3.86017699115044,3.96541460855091,4.03078277745831,4.02945064629847,4.0252276733255,4.07665505226481,4.19763513513514,4.15706950302586,4.13934128253599,4.11317567567568,3.97105954686046,3.93446894928636,3.81302521008403,4.01129943502825,3.86281588447653,3.92736486486486,3.79201680672269,3.7475,3.73370577281192,3.92857142857143,3.8247191011236,3.8255602738891,3.9645390070922,4.07142857142857,4.03191489361702,3.99734042553191,3.93449781659389,3.97708197838273,4.0391156462585,4.10754485401241,4.00593468363839,3.93496001752656,4.01902076620122,4,4.00375939849624,4.11290322580645,3.97142857142857,3.89259259259259,3.90848317196865,3.6962962962963,3.77611940298507,4.11440025503146,4.05430711610487,4.00329489291598,3.93491124260355,4.36742989878878,4.37342908438061,4.47695035460993,4.59308510638298,4.67849488260084,4.51088406500121
