"RegionName","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,2600,2600,2695,2650,2695,2700,2700,2700,2750,2800,2800,2800,2800,2800,2800,2800,2750,2798,2800,2800,2835,2890,2895,2895,2895,2900,2800,2800,2750,2795,2800,2800,2895,2895,2555,2535,2550,2575,2540,2500,2500,2595,2600,2650,2695,2650,2600,2650,2650,2600,2600,2595,2575,2575,2555,2600,2600,2625,2635,2650,2695,2721,2650,2500,2550,2518.5,2500,2550,2595,2600,2620,2685,2600,2595,2500,2500,2500,2500,2500,2550,2600,2650,2695,2683,2635,2595,2519,2500,2500,2550,2585,2617.5,2675,2727,2750,2750
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,1600,1695,1500,1500,1512.5,1497.5,1550,1500,1550,1595,1495,1450,1450,1492.5,1500,1497,1550,1550,1500,1450,1395,1425,1500,1400,1400,1400,1477.5,1445,1429.5,1495,1500,1475,1450,1450,1495,1488,1400,1499,1479,1450,1469,1495,1585,1550,1695,1600,1600,1650,1650,1695,1700,1708,1750,1750,1695,1757.5,1762.5,1795,1700,1750,1850,1850,2032,2125,2200,2200,2295,2000,2195,1875,1900,1925,1850,1850,1995,2100,2095,2100,2098,2095,2095,2095,2000,2100,2100,2085,1995,2000,2000,2049,2100,2150,2150,2150,2145,2160,2150,2148,2195,2100,2195,2195,2195,2195,2195,2195
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,1272.5,1314.5,1375,1400,1250,1200,1200,1195,1232,1295,1242.5,1200,1109.5,1144,1100,1180,1200,1151,1200,1200,1200,1187.5,1170,1166.5,1185,1131,1172,1150,1100,1095,1095,1057.5,1095,1150,1125,1150,1100,1100,1100,1095,1075,1050,1075,1100,1100,1100,1100,1100,1050,1072.5,1080,1095,1099.5,1100,1100,1095,1095,1065,1099.5,1100,1065,1050
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,1245,1300,1355,1200,1247.5,1251,1345,1400,1450,1394,1330,1338.5,1350,1400,1413,1467.5,1426,1400,1400,1400,1399,1400,1329,1295,1300,1400,1500,1514,1500,1500,1450,1492,1470.5,1499,1500,1569,1500,1550,1600,1600,1597,1617,1600,1560,1600,1650,1600,1540,1543.5,1550,1505,1562,1697.5,1620,1650,1675,1700,1560,1625,1800,1600,1645,1700,1700,1724,1650,1880,2044,2148,1947,1795,1895,1600,1503.5,1550,1560,1500,1522,1495,1467,1500,1500,1476,1495,1500,1500,1500,1500,1525,1550,1595,1626,1650,1660,1626,1645,1650,1680,1700,1730,1750,1725,1760,1695,1695,1650,1700,1650,1730,1651.5,1615,1595,1575,1495
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,950,999.5,899,950,930,905,900,995,1026,1000,995,975,985,1000,999,1002,1075,1075,975,995,950,925,927,950,925,950,950,950,950,950,950,975,985,995,975
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1200,1300,1295,1175,1160,1195,1200,1275,1275,1250,1250,1200,1250,1320,1350,1345,1320,1350,1395,1375,1400,1400,1350,1400,1400,1450,1350,1375,1400,1400,1450,1412.5,1395,1300,1250,1237.5,1200,1295,1295,1295,1300,1350,1395,1400,1400,1400,1350,1350,1300,1350,1300,1300,1299,1355,1400,1395,1395,1395,1375,1350,1395,1400,1400,1399,1390,1350,1395,1350,1380,1305,1295
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,,,,,,,,720,750,699,775,685,627.5,625,635,622,625,625,650,650,600,625,600,600,625,650,680,699,650,650,675,689,675,675,650,650,650,675,650,650,625,600,650,644.5,650,699.5,695,700,700,720,695,695,662,700,690,695,730,730,725,712.5,725,703,705,725,675,675,775,795,795,800,795,807.5,850,850,836.5,849.5,850,850,850,850,850,857.5,850,895,895,900,895,895,895,875,900,884,895,912.5,925,900,895,925
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.5,877.5,895,850,885,807.5,799,795,850,935,950,900,910,962.5,930,900,950,995,950,1050,1000,950,995,950,975,950,900
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,,,,,,1295,1250,1312.5,1299,1250,1295,1297,1282.5,1345,1345,1295,1300,1300,1275,1200,1250,1200,1150,1195,1250,1275,1297,1300,1300,1300,1297.5,1300,1400,1395,1300,1325,1400,1450,1395,1395,1425,1595,1495,1497.5,1495,1425,1395,1395,1395,1425,1475,1395,1395,1395,1450,1550,1550,1595,1497.5,1547,1595,1600,1695,1695,1595,1650,1595,1550,1547.5,1595,1595,1512.5,1500,1625,1695,1650,1650,1662.5,1650,1695,1700,1700,1795,1695,1700,1745,1750,1750,1795,1850,1895,1850,1895,1872.5,1895,1800,1850,1875,1800,1795,1797.5,1775,1795,1795,1795
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1297,1129,1200,1150,1295,1210,1300,1424,1423,1425,1300,1275,1290,1235,1200,1141,1150,1112.5,1095,1150,1195,1170,1150,1300,1400,1400,1331,1217,1190,1230,1200,1200,1150,1275,1299,1320,1364,1350,1388,1375,1500,1395,1365,1350,1350,1223.5,1195,1195,1075,1095,1095,1100,1095,1095,1178.5,1095,1050,1125,1195,1200,1200,1200,1250,1147.5,1195
