"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,2200,2397.5,2500,2450,2595,2500,2395,2550,2600,2500,2595,2299.5,2200,2450,2500,2550,2500,2646,2695,2695,2600,2500,2495,2495,2550,2550,2600,2650,2700,2700,2750,2780,2795,2795,2775,2700,2795,2785,2800,2850,2895,2800,2826,2885,2899,2800,2800,2750,2795,2795,2800,2800,2900,2500,2500,2500,2500,2500,2455.5,2475,2500,2500,2550,2595,2550,2500,2575,2550,2500,2500,2495,2455,2495,2500,2500,2550,2599,2600,2600,2600,2660,2600,2400,2495,2500,2500,2500,2575,2599,2600,2600,2570,2500,2499,2475,2450,2450,2495,2500,2600,2600,2600,2600,2570,2500,2500,2475,2475,2499,2500,2575,2600,2650,2650,2650
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,1762.5,1750,1945,2000,2100,2100,2200,1950,1925,1899,1975,1795,1782.5,1795,1850,1930,1995,1995,1950,1850,1650,1500,1500,1595,1649,1650,1650,1695,1650,1675,1695,1705,1695,1700,1633,1645,1730,1750,1750,1755,1735,1725,1700,1795,1799,1650,1800,1795,1750,1750,1795,1870,1890,1973,1995,2000,2025,2040,2095,2100,2100,2133.5,2120,2165,2195,2195,2191.5,2200,2200,2195,2195,2299,2320,2350,2350,2350,2300,2275,2250,2325,2200,2246.5,2187.5,2269,2395,2400,2395,2395,2390,2400,2400,2395,2395,2350,2350,2350,2390,2386,2350,2394,2450,2500,2554,2550,2555,2567,2550,2565,2550,2550,2595,2561,2585,2580,2595
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,1185,1170,1205,1255,1235,1320,1285,1375,1382,1380.5,1265,1408,1250,1194,1234,1375,1369,1385,1341,1372,1385,1345,1350,1335,1375,1385,1424,1424,1417,1403,1407,1420,1400,1500,1485,1500,1475,1485,1469,1471,1450,1409,1358,1379,1338,1300,1317,1340,1370,1355,1379,1375,1350,1343.5,1363,1360,1375,1404,1405,1400,1425,1440,1450,1435,1430,1417,1421,1402,1397,1399,1385,1367,1372,1385,1380,1375,1379,1369,1368
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,1645,1350,1315,1325,1307.5,1350,1300,1295,1395,1500,1549.5,1552.5,1400,1410,1400,1456,1475,1481,1450,1455,1465,1450,1400,1425,1437,1400,1395,1400,1425,1462,1485,1500,1530,1550,1500,1515,1500,1611,1550,1575,1600,1632,1625,1625,1615,1595,1600,1645,1600,1565,1560,1566,1600,1650,1700,1625,1707,1709,1675,1563.5,1610,1708,1600,1620,1650,1650,1650,1636,1700,1745,1796,1700,1685,1750,1650,1650,1650,1650,1639.5,1603,1600,1595,1600,1595,1600,1600,1600,1645,1650,1654.5,1656,1675,1692,1680,1675,1650,1650,1675,1699,1705,1727,1750,1750,1734,1724.5,1700,1700,1700,1745,1750,1795,1795,1795,1795,1750,1725
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,910.5,950.5,910.5,809.5,750,790,799,750,780,775,790,813,869,800,785,799,805,860,865.5,820,799,800,810,855,850,830,840.5,812,800,834,905,904,851,860,859,876.5,891,899,906,945,982.5,975,975,980,959,1000,1000,989,995,975,975,1000,979,999,963,944.5,950,978,985,989.5,990.5,975,1019,1021,1004,1012,1062.5,1040,999,1025,995,1047,1013.5,955,1007,950,1000,1020.5,1020,1045,1100,1079,1060,1053,1075,1078,1075,1080.5,1085,1147.5,1126,1107,1125,1144.5,1152,1151,1150,1125,1172,1141,1166,1177,1175,1179,1198,1210,1203,1186
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,1403,1390,1345,1320,1335,1350,1395,1400,1400,1350,1300,1300,1200,1200,1202.5,1200,1300,1350.5,1392.5,1350,1349,1350,1300,1275,1270,1277.5,1257,1275,1435,1395,1362,1392.5,1325,1300,1298,1350,1300,1350,1355,1285,1296,1295,1300,1400,1400,1400,1375,1320,1350,1395,1325,1350,1390,1400,1450,1445,1407.5,1400,1400,1390,1395,1410,1385,1400,1425,1450,1450,1500,1450,1400,1400,1400,1445,1400,1455,1400,1472.5,1500,1500,1550,1500,1500,1525,1500,1495,1495,1500,1500,1500,1575,1595,1597,1551.5,1575,1578,1595,1600,1650,1650,1646,1627,1622,1607,1600,1600,1600,1650
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,695,750,750,812.5,775,785,795,849,847,850,800,795,795,835,849.5,849.5,825,825,850,775,730,725,735,750,760,755,750,760,775,780,795,779,777,760,750,759,778,785,789,790,778,785,800,800,775,795,825,825,825,844.5,850,850,843,850,850,850,844.5,850,875,875,885,900,899,899,899,901.5,906,900,905,975.5,975,975,1000,985,975,1020,960,969,950,960,949,945,997,1064,1153.5,1188,1136,1133.5,1115,1090,1067,1059,1045,1050,1060,1085,1095,1108,1099,1100,1100,1120,1100,1142,1141,1123,1150,1170,1180,1225,1270,1295,1265,1250
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,800,850,895,895,895,877.5,895,795,775,750,738,780,780,787.5,800,800,800,800,825,800,792.5,750,760,750,760,760,750,750,750,750,750,750,750,795,770,755,768,799,799,799,850,890,895,925,925,895,950,995,995,995,995,1000,1000,950,900,900,925,940,995,925,915,925,950,950,950,929.5,940,900,900,939,970,925,939,966,970,950,1043,1100,1099,1086,1100,1149,1050,1100,1150,1150,1149,1075,1045,1020,1043,1002,1000,1000,980,1000,1050,1100,1100,1100,1135,1150,1150,1147,1150,1125,1135,1147,1150,1165,1167.5,1175,1189,1190,1185
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,,2062.5,1900,1995,1695,1699.5,1700,1792.5,1795,1752.5,1795,1800,1850,1775,1600,1625,1625,1600,1630,1595,1590,1635,1608,1600,1645,1550,1593.5,1615,1600,1595,1620,1600,1625,1650,1650,1670,1810,1775,1650,1795,1840,1780,1758,1795,1900,1950,1900,1950,1901,1920,1900,1895,1890,1900,1900,1900,1900,1935,1955,1995,2000,1995,1980,1955,1961,1965,1980,1995,1975,1995,2080,1995,2020,1950,1900,1950,1985,2000,2030,2080,2105,2100,2135,2135,2127,2125,2100,2095,2100,2151,2134,2210,2251,2295,2294,2295,2284,2295,2300,2295,2297,2295,2246.5,2250,2300,2350,2374,2350
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,1077,1000,995,1025,1000,920,950,920,939,1030,973,949,1020,975,1100,1150,1100,1061.5,1120,1100,1130,1200,1290,1200,1218,1217,1168,1217,1233,1179,1285,1337,1335,1325,1350,1300,1300,1321,1286,1296,1275,1250,1250,1279.5,1329,1325,1310,1298,1250.5,1291.5,1280,1280,1300,1318,1355.5,1325,1289,1320,1338,1375,1395,1372,1355,1375,1350,1323,1410,1413.5,1350,1328,1395,1400,1425,1435,1437,1430,1443,1479,1456,1445,1480,1479,1480,1527,1480,1475,1494,1490,1495,1500,1490,1505,1480,1460,1475,1500,1495,1490,1471,1440,1445,1423
