"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
"New York","NY","New York-Newark-Jersey City","Queens County",1,1972.5,2300,2497,2200,2300,2200,1900,1950,2100,2000,2350,2100,1900,2000,2000,2045,2050,2100,2200,2195,2145,2100,2095,2095,2100,2100,2150,2195,2195,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2225,2200,2230,2290,2280,2299,2300,2295,2300,2295,2295,2300,2333,2300,2270,2295,2300,2300,2300,2320,2330,2350,2399,2395,2400,2395,2400,2400,2400,2375,2350,2350,2350,2350,2350,2325,2349,2350,2350,2316,2350,2375,2199,2295,2400,2400,2430,2452,2475,2488,2450,2400,2375,2350,2350,2310,2350,2370,2400,2400,2419.5,2400,2400,2395,2350,2350,2325,2337,2350,2400,2436.5,2450,2475,2450,2450
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,895,895,947.5,950,950,925,900,950,995,965,985,956.5,981.5,1050,1063,1052.5,1095,1095,1025,1100,1095,1095,950,1050,1096.5,1093.5,1050,1070,1135,1195,1275,1330,1295,1295,1275,1330,1340,1345,1362.5,1390,1375,1425,1445,1425,1410,1444.5,1420,1395,1500,1550,1605,1580,1675,1595,1695,1550,1595,1545,1550,1450,1500,1725,1942,1817.5,1750,1875,1975,1960,1971,1933.5,1886,1890,1859.5,1873.5,1870,1860,1897,1824.5,1895,1925,1887,1903,1897,1819,1845,1893,1900,1980,1965,1974,1944,1913
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1200,1195,1215,1200,1170,1195,1239,1239,1269.5,1250,1200,1229,1226,1350,1349,1349,1325,1313.5,1350,1313,1319.5,1281,1249.5,1259,1244,1241.5,1254,1280,1139.5,1145
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,1450,1450,1425,1495,1497,1400,1300,1500,1600,1625,1750,1500,1415,1350,1350,1375,1349,1300,1300,1349,1314,1290,1295,1271,1225,1225,1280,1299,1290,1340,1397.5,1400,1395,1395,1390,1400,1430,1416,1400,1434,1442,1450,1495,1500,1495,1450,1475,1485,1465,1450,1450,1495,1531.5,1585,1500,1600,1595,1515,1472.5,1530,1626,1550,1500,1535,1550,1523,1500,1550,1550,1550,1525,1525,1565,1519.5,1500,1499,1452,1450,1450,1450,1500,1506,1499,1500,1499.5,1495,1492,1480,1495,1500,1535,1553,1550,1541.5,1512,1518,1500,1490,1450,1464,1485,1500,1515,1492,1473,1472.5,1474.5,1500,1460,1567,1540,1499,1450,1410,1425
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,748,750,821,800,910.5,903,834.5,839,864.5,939,937,899,949,935,899,899,995,955,955,995,990,1042.5,1099.5,1075,1035,1082.5,1095,1008,1023,1085,990,989
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,,735,750,715,750,750,780,850,800,830,800,845,827.5,830,795,797.5,750,825,850,820,810,795,800,890,875,890,850,795,795,815,895,975,895,950,950,900,950,1000,832.5,907.5,885,950,1000,990,990,950,940,940,943,999.5,975,997,995,1000,1050,1050,1022.5,995,1032.5,1047.5,1100,985,1030,1045,1045,1090,1050,1080,1050,1050,1099.5,1095,1095,1100,1095,1181,1145,1200,1190,1195,1169,1170,1199,1175,1187.5,1282.5,1300,1295,1295,1250,1232.5,1195,1195,1195,1200
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,1275,1200,1212.5,1225,1175,1195,1195,1100,1095,1099,1099,1049,1050,1050,1050,1050,1050,1050,1050,1025,1000,995,995,995,995,1000,1000,1050,1050,1050,1049,1025,1000,1000,1000,995,999.5,1000,1000,1000,1000,1025,995,1050,1050,1050,1050,1075,1050,1050,1095,1125,1149,1150,1179,1150,1150,1150,1150,1150,1195,1200,1222,1225,1225,1200,1200,1200,1200,1190,1200,1242.5,1250,1250,1250,1225,1250,1200,1200,1200,1200,1200,1200,1250,1250,1295,1300,1325,1335,1325,1300,1300,1295,1295,1300,1297,1299,1325,1340,1375,1350,1395,1382,1385,1365,1385,1395,1395,1395,1400,1450,1495,1495,1495,1495
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465,1498,1537.5,1571,1550,1497.5,1589,1615,1650,1705,1680,1397.5,1447.5,1584,1550,1570,1595,1450,1495,1581,1387.5,1506,1395,1405,1556,1685,1745,1677.5,1725,1737.5,1675,1738,1626.5,1675,1652,1624,1665,1741,1770,1776.5,1850,1850,1870,1881,1872.5,1842,1800,1837.5,1853,1840.5,1799,1766,1799,1805,1860,1856,1850
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,,,,,,,,,,,,950,790,835.5,800,800,812.5,885,766,750,730,746,700,675,695,755,750,850,855,782,723,743.5,750,830,857,850,800,825,863,793,790.5,850,855,899,950,989,985.5,975,945,950,965,952.5,1059,1050,1050,997,1060,1100,1050,1059,1025.5,1026,1080,1066,1081,1177.5,1177.5,1050,999,1070,1068.5,1055,1040,1050,1127.5,1152.5,1055,1100,1100,1097,1151,1155,1097.5,1170,1170,1165,1165,1170,1180,1190,1226,1240,1250,1268,1280,1290.5,1300,1262.5,1258,1225,1210,1200,1225,1202.5,1225,1240,1226.5,1225,1228,1250,1235,1244,1245,1270,1265
"Austin","TX","Austin-Round Rock","Travis County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1350,1395,1400,1400,1400,1475,1450,1400,1450,1500,1550,1500,1500,1550,1575,1600,1600,1595,1597,1597,1600,1650,1625,1609,1650,1675,1750,1700,1737,1735,1700,1625,1595,1600,1615,1625,1556.5,1600,1685,1695,1650,1650,1600,1600,1650,1695,1700,1695,1740,1720,1750,1750,1725,1700,1695,1665,1675,1650,1666,1676,1695,1700,1740,1750,1750,1700,1700,1695,1695,1695,1695,1675,1737,1750,1750,1750,1750
