"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-08-31,6181,"New York","NY","New York-Newark-Jersey City","Queens County",0,671400,-0.00208085612366231,-0.00958843487240006,0.00119296152699075,0.0552923609010356,0.0412170229263835,"2019-03","2019-Q1",682300,-0.0159753773999707,"2018-09"
2019-08-31,12447,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,692800,0.00187997107736804,0.00187997107736804,0.021678218551836,0.0671449333360785,0.0545811661584834,"2019-02","2019-Q1",694900,-0.00302201755648295,"2019-01"
2019-08-31,39051,"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",2,189500,0.00317628374801482,0.0193652501344809,0.0481194690265487,0.0794490237335588,0.0437445617244194,"2019-08","2019-Q3",189500,0,"2019-08"
2019-08-31,17426,"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,227300,0.000880669308674593,-0.00872219799389446,-0.000439753737906772,0.0391382239765901,0.00935034007570601,"2007-02","2007-Q1",263900,-0.138688897309587,"2004-10"
2019-08-31,6915,"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,178500,0.00112170499158721,0.0107587768969422,0.0493827160493827,0.0733402853093648,0.0407691414133853,"2019-08","2019-Q3",178500,0,"2019-08"
2019-08-31,13271,"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,157500,0.00638977635782748,0.0194174757281553,0.0402906208718626,0.0822137183816791,0.0341278084058245,"2019-02","2019-Q1",161800,-0.0265760197775031,"2018-12"
2019-08-31,40326,"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,244600,0.00617030028794735,0.00534319769831484,0.0457460453185122,0.0842945119905805,0.0603758612515615,"2006-05","2006-Q2",252300,-0.0305192231470472,"2006-01"
2019-08-31,18959,"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,274000,-0.00182149362477231,-0.00832428519724937,0.0331825037707391,0.0924416294914858,0.064321601524435,"2006-06","2006-Q2",312100,-0.12207625760974,"2004-12"
2019-08-31,54296,"San Diego","CA","San Diego-Carlsbad","San Diego County",8,635400,0,-0.0023551577955723,0.0119445771619685,0.05725665326925,0.0487645726055987,"2019-05","2019-Q2",636900,-0.0023551577955723,"2019-04"
2019-08-31,38128,"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,213200,0,0.00376647834274953,0.0872004079551249,0.14047293799473,0.0681227587722251,"2019-03","2019-Q1",216500,-0.0152424942263279,"2019-02"
2019-08-31,10221,"Austin","TX","Austin-Round Rock","Travis County",10,372200,0.000268744961031981,0.00757985923118571,0.0549886621315193,0.080438023673296,0.0586500609663458,"2019-08","2019-Q3",372200,0,"2019-08"
2019-08-31,33839,"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",11,990700,-0.00151179197742391,-0.0226891585281642,-0.0933467557426558,0.0735356489351622,0.0707082919252071,"2018-10","2018-Q4",1096900,-0.0968183061354727,"2018-01"
2019-08-31,25290,"Jacksonville","FL","Jacksonville","Duval County",12,179300,0.00279642058165548,0.0107102593010147,0.0640949554896142,0.099469582885291,0.0365675190843404,"2006-10","2006-Q4",182000,-0.0148351648351648,"2006-06"
2019-08-31,32149,"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",13,145800,0.00482425913163336,0.0139082058414465,0.102040816326531,0.0948019391291723,0.0392608928289264,"2019-08","2019-Q3",145800,0,"2019-08"
2019-08-31,20330,"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",14,1351500,0.00296846011131725,0.00311734580271654,0.000592285481602132,0.0723474319990793,0.0690289958785759,"2019-01","2019-Q1",1370600,-0.0139355026995476,"2018-09"
2019-08-31,24043,"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",15,229100,0.00306479859894921,0.0114790286975717,0.0680652680652681,0.0895602563933631,0.0434011897182023,"2019-08","2019-Q3",229100,0,"2019-08"
2019-08-31,18172,"Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",16,198800,0.00302724520686176,0.00556398583712696,0.0631016042780749,0.0970636213251524,0.0509041352714295,"2019-08","2019-Q3",198800,0,"2019-08"
2019-08-31,7481,"Tucson","AZ","Tucson","Pima County",17,193000,0.00625651720542232,0.0190073917634636,0.0569550930996714,0.0595901011090809,0.0215770301419915,"2006-07","2006-Q3",215200,-0.103159851301115,"2005-08"
2019-08-31,10920,"Columbus","OH","Columbus","Franklin County",18,157900,0,0.00126823081800888,0.0726902173913044,0.0881489718437811,0.035871573132132,"2019-08","2019-Q3",157900,0,"2019-08"
2019-08-31,12455,"Louisville","KY","Louisville/Jefferson County","Jefferson County",19,163700,0.00306372549019608,0.0136222910216718,0.0473448496481126,0.0537452424888105,0.0291650545611104,"2019-08","2019-Q3",163700,0,"2019-08"
2019-08-31,13121,"Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",20,243200,0.00123507616303005,0.00620604054613157,0.0402053036783576,0.0924483637110649,0.0540244378862376,"2006-09","2006-Q3",263200,-0.0759878419452888,"2006-03"
2019-08-31,17933,"El Paso","TX","El Paso","El Paso County",21,130200,0.0023094688221709,0.0100853374709077,0.0391061452513966,0.0254956422982724,0.0101443804233057,"2019-08","2019-Q3",130200,0,"2019-08"
2019-08-31,11093,"Denver","CO","Denver-Aurora-Lakewood","Denver County",22,422400,0.000236798484489699,-0.0063514467184192,0.0144092219020173,0.0925034402995502,0.0692686207165707,"2019-02","2019-Q1",430700,-0.0192709542605062,"2018-11"
2019-08-31,16037,"Seattle","WA","Seattle-Tacoma-Bellevue","King County",23,713100,-0.00167996640067199,-0.0128737541528239,-0.0392077607113985,0.0942188725693671,0.0647723281942916,"2018-06","2018-Q2",750500,-0.0498334443704197,"2017-11"
