RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
12447,Los Angeles,California,1,501000,486300,464600,455400,436400,421700,405800,397400,385800,372600,356500,343800,338000,328500,324500,327400,332300,337600,340600,345300,346700,351500,358500,362500,360100,353300,353900,351700,353400,348900,353700,351900,358200,359000,356800,354200,346000,348300,347400,346900,343700,339200,338900,332600,331900,330200,332400,331100,331700,337300,340600,346400,353000,361600,373400,375000,383200,396900,405700,413600,413100,430900,445600,459800,467100,469000,473200,474100,469600,460200,448500,448900,450500,459000,464600,464900,465600,464400,466600,470500,470800,475100,476200,483600,489100,494800,494300,495300,496300,503500,503000,501900,502100,514200,522600,525800,521900,526600,531800,534500,532700,533800,539500,539100,543800,541400,553500,551300,557800,553600,560200,564200,568900,569700,574800,584800,602400,612000,615100,621800,626400,635100,634600,644500,638800,644500,648600,669000,679700,681700,689100,685300,696400,699900,705400,706300,706100,708300
17426,Chicago,Illinois,2,325900,315800,294200,279300,274000,269800,270500,269500,261000,257900,249800,251400,250300,247800,240200,229400,226800,228800,230100,229700,233700,234000,239100,229800,226000,222300,228100,229400,219800,210000,197700,200600,201700,204400,203300,202200,198600,190100,185400,191300,201900,207300,205400,202200,192100,191600,185100,186600,182300,186300,190600,199500,203800,210500,215100,209900,208000,199900,206300,201200,203900,205700,221000,234400,244100,248100,249500,253700,252100,249300,247000,256200,259400,258900,256600,260000,258500,259400,262000,265500,265800,263500,267600,267600,269700,269500,268300,263400,255100,243600,237400,230600,221200,218700,218300,222100,218000,218800,221900,224100,227000,229500,230700,232000,237100,249000,260900,258500,252600,239100,234200,226500,222800,225600,225700,229400,229100,235000,241700,246000,259600,259100,258700,249700,256500,263000,265600,262700,265600,249000,259200,269100,300100,299400,291600,281900,277600,272600
13271,Philadelphia,Pennsylvania,3,110300,110300,111600,110200,108500,111400,114300,116300,114800,111000,107900,102300,102300,109400,112000,113700,109200,116000,121700,124700,129700,127300,124800,114700,115600,117800,120900,119700,115400,107100,105600,101500,111100,105700,109100,104800,108200,111200,110700,111400,105100,106300,105500,106800,103500,104200,104500,101600,100200,103200,108800,107400,106800,109500,110000,107200,107100,111900,115700,112900,107600,107300,108600,112900,115200,115800,115900,115700,116600,118400,119600,120400,124900,123400,122700,118700,118200,120300,118900,120700,118400,119000,118600,113300,115100,115700,120300,121200,121300,121800,123400,126400,126800,122500,128000,128800,129000,120800,121600,122700,125400,125900,130000,127500,130500,130300,134300,135400,137500,140300,142000,144500,144600,145900,145200,144800,148100,147400,151600,143500,142500,138600,144800,144400,143500,141500,144200,147000,152600,156200,158000,157300,156000,158100,161000,167900,175900,
40326,Phoenix,Arizona,4,221500,212600,204600,195700,186600,176200,167300,154700,140000,122700,107500,92700,81600,74500,73600,81300,88200,95100,95600,97400,104200,105000,105100,102200,102600,102700,102000,103100,101700,97600,95200,94000,90400,84900,84100,83600,83600,80500,79800,81500,83700,86200,88700,91000,94500,96800,91500,85800,81200,84700,93300,97100,101800,104300,106600,111500,115700,119900,122600,120800,122600,123500,129300,133800,137600,137700,137800,138000,136300,136900,136300,138300,138100,139700,138800,139200,139800,141000,142900,143100,142500,144300,142700,146400,149200,154900,159200,161400,162700,161900,161200,163300,165300,168000,168400,169800,171400,173200,175000,175900,176800,179100,181900,184500,186800,186800,188600,189000,190900,190000,190700,191200,193600,194700,195600,197600,200400,202700,206700,210700,213600,216400,215900,216200,218300,218800,220000,219500,223700,224200,227000,227900,232300,233100,235200,236900,237600,235700
18959,Las Vegas,Nevada,5,245700,240000,235100,226800,218700,207500,195600,184200,174100,166400,158700,150600,142500,131600,124000,119000,119300,117600,117000,117200,118800,121100,123000,123400,123300,124400,126300,127200,124800,123800,120600,118400,116000,114600,114300,113500,111000,109300,108000,107500,106000,103000,102500,102600,104600,105900,106600,106300,107800,110000,113000,115700,118600,121600,124200,126400,130500,133200,137200,139700,143500,145700,148700,153600,158600,162100,162200,162900,163400,165100,166400,168400,170000,171500,171200,162600,162900,167200,177000,178300,176900,178500,178400,180600,181500,184600,185100,182800,186800,187200,192200,189000,191400,191300,196100,199700,199200,197000,194600,195800,196500,197200,198200,200400,203000,204100,206900,208000,214000,215200,217700,220200,224300,226900,228700,230000,232900,235800,240600,244600,247500,248500,252300,256600,260100,260000,261200,262200,264000,262800,266300,267800,271100,266800,266900,267000,270400,269400
54296,San Diego,California,6,419900,407500,397600,378500,370100,355900,350000,335400,322400,309100,295500,299500,292900,291700,289100,306600,322900,332300,341500,348200,347800,349300,340100,344200,344300,350300,347900,343500,348100,349100,355300,355600,361300,358600,346700,338800,335500,342500,342600,336600,333100,328500,327000,325500,325900,329200,327600,328400,333500,341800,350400,354100,364600,368100,372400,373600,383000,390600,397000,400000,405900,414000,425200,429800,432700,430300,437900,435700,437300,433900,436900,437400,438700,439900,443500,444500,449000,454700,462000,467500,466100,462900,462100,471400,480400,480600,475500,474500,478700,480800,475000,470600,472800,486200,498400,500100,491100,493600,496500,501900,500500,503400,508800,517400,521000,520300,524600,535100,540700,534600,528200,534200,540300,545900,547000,550900,562300,570100,572900,570800,575700,582400,589200,591400,590800,591900,596500,592500,586800,580200,588200,594800,595900,597500,594000,596400,596300,
38128,Dallas,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272400,268000,271300,267700,266500,262500,263700,265600,273800,272200,274500,268100,274100,273700,275900,270800,273600,278700,284300,281000,278900,280500,281300,282900,283200,288000,283600,281900,277200,279900,279000,281600,280600,292400,294400,296900,286900,286200,292500,288300,280900,274100,283900,293200,284800,284700,278400,290800,280100,284800,287400,
10221,Austin,Texas,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267000,267700,273700,278100,279200,284300,284300,283600,280300,280900,291000,295800,297900,294100,289800,291400,289300,292600,296200,302200,305500,307200,304800,303900,303900,312200,315200,314700,313200,316200,316300,315500,317500,318400,326100,330200,333700,329100,325900,329800,342500,342500,350400,341300,340200,336000,337000,341800,343500,350500,356500,360100,355000,358600,354000,354400,354200,355700,365600,368900,375900,
33839,San Jose,California,9,616400,582400,565500,545300,534400,521800,500800,476100,445200,426900,421400,415900,396200,370500,359600,367700,394800,403500,419100,421200,438100,449000,458700,465200,466500,453300,454400,448900,458600,455200,459300,456500,453000,449200,448000,438300,429600,417400,414700,423200,426100,433400,432700,426500,424900,420600,432300,431100,432800,436800,440300,451000,466300,493500,509700,515300,519100,524000,540400,547300,556100,563400,579500,593100,599900,599900,603600,606800,611500,615000,620800,625800,625200,629100,633600,641300,638700,647100,652200,660000,662900,666800,675200,666300,676300,680900,700600,705000,714200,720400,728800,730000,731300,736600,736200,743500,748300,757400,763100,760800,767000,764200,764700,768300,775100,780800,787800,798800,808200,809500,808800,813800,827600,836300,855300,878300,913700,961200,982700,1022100,1037200,1059300,1054700,1039800,1018600,1001700,996500,1004300,987900,980600,978400,977400,966500,948800,943500,943100,942100,936800
25290,Jacksonville,Florida,10,171100,164900,151700,147100,143900,142400,136700,131100,130700,129100,129200,129500,128900,124400,113100,109900,110500,114000,112200,107500,109400,110300,110700,108700,108300,107800,102100,99800,98900,94600,87500,82400,88600,93500,95600,92300,89300,87900,83500,85100,85100,87800,83700,83300,83500,89000,84600,82700,77300,80000,78100,77300,76100,76800,78200,75800,77600,80000,87200,84700,82000,78700,80200,77600,75100,79300,83100,87000,85700,86600,84700,79900,77800,77400,76000,75600,78900,80300,81900,83500,85900,86900,81000,76400,72700,75300,84000,91500,96800,96400,99200,97800,94300,92500,93800,103700,102300,108000,107900,114900,113700,112900,110600,112200,113300,114800,118000,130200,136500,137400,129300,126500,124000,125300,122300,120800,121400,125800,133200,137200,145200,145200,143100,140100,142300,143400,145400,141300,141800,138700,141700,148700,151500,157200,158200,165900,171100,171000
